Año,Trimestre,Mbps (Media de bajada),Periodo,Ingresos (miles de pesos),ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Accesos por cada 100 hogares,Accesos por cada 100 hab
2022,3,62.46,Jul-Sept 2022,67055930.0,1395277.0,6031970.0,2871541.0,55711.0,23523.0,11091128.0,76.64,23.95
2022,2,58.44,Abr-Jun 2022,60335724.0,1468333.0,5979214.0,2723285.0,556243.0,231609.0,10958684.0,75.97,23.72
2022,1,55.11,Ene-Mar 2022,55589997.0,1533240.0,6073426.0,2219533.0,545814.0,251996.0,10624009.0,73.88,23.05
2021,4,52.34,Oct-Dic 2021,45467887.0,1657615.0,5984240.0,2072236.0,523107.0,252596.0,10489794.0,73.18,22.81
2021,3,48.46,Jul-Sept 2021,42999944.0,1950631.0,5826257.0,1566048.0,492415.0,25019.0,10085541.0,70.58,21.98
2021,2,45.63,Abr-Jun 2021,38239667.0,2018587.0,5641731.0,1472246.0,476968.0,253552.0,9863084.0,69.24,21.55
2021,1,43.11,Ene-Mar 2021,36676371.0,2175211.0,5424782.0,1362976.0,434548.0,250455.0,9647972.0,67.95,21.13
2020,4,42.36,Oct-Dic 2020,33539703.0,2213949.0,5371824.0,1311199.0,421554.0,253036.0,9571562.0,67.62,21.01
2020,3,40.67,Jul-Sept 2020,31997445.0,2263889.0,5259351.0,1170879.0,413259.0,248821.0,9356199.0,66.31,20.59
2020,2,38.32,Abr-Jun 2020,32102476.0,2295533.0,5005115.0,1106725.0,376667.0,247016.0,9031056.0,64.21,19.92
2020,1,37.52,Ene-Mar 2020,29946216.0,2299457.0,4903674.0,1047817.0,352333.0,209145.0,8812426.0,62.86,19.48
2019,4,28.26,Oct-Dic 2019,24169251.0,2414575.0,4883869.0,941295.0,340144.0,213298.0,8793181.0,62.92,19.49
2019,3,24.18,Jul-Sept 2019,21652748.0,2909805.0,4800091.0,852221.0,338241.0,264326.0,9164684.0,65.79,20.36
2019,2,20.33,Abr-Jun 2019,20743118.0,2990457.0,4635575.0,760794.0,308027.0,265328.0,8960181.0,64.53,19.96
2019,1,17.38,Ene-Mar 2019,20207414.0,3132789.0,4435439.0,637099.0,276419.0,166389.0,8648135.0,62.48,19.31
2018,4,15.95,Oct-Dic 2018,16637687.0,3329027.0,4313831.0,388013.0,264299.0,178485.0,8473655.0,61.42,18.97
2018,3,15.36,Jul-Sept 2018,15410981.0,3521447.0,4238171.0,247366.0,246181.0,9387.0,8347035.0,60.69,18.73
2018,2,13.85,Abr-Jun 2018,14319467.0,3557216.0,4038141.0,226285.0,194267.0,94535.0,8110444.0,59.16,18.24
2018,1,13.22,Ene-Mar 2018,13171459.0,3574294.0,3981129.0,217460.0,1653.0,9887.0,8037053.0,58.82,18.12
2017,4,12.01,Oct-Dic 2017,11226127.0,3584311.0,3818157.0,211425.0,155775.0,100554.0,7870222.0,57.78,17.79
2017,3,8.34,Jul-Sept 2017,10065998.0,3622575.0,3670221.0,193964.0,106443.0,13174.0,7724943.0,56.9,17.51
2017,2,7.16,Abr-Jun 2017,9678647.0,3723518.0,3383434.0,180777.0,85813.0,56122.0,7429664.0,54.9,16.88
2017,1,6.62,Ene-Mar 2017,8701201.0,3708898.0,3276251.0,180146.0,84813.0,55746.0,7305854.0,54.16,16.64
2016,4,6.34,Oct-Dic 2016,7483980.0,3722794.0,3210602.0,178070.0,85119.0,55088.0,7251673.0,53.94,16.56
2016,3,5.94,Jul-Sept 2016,6912442.0,3776442.0,3124855.0,169898.0,81455.0,543.0,7206950.0,53.73,16.5
2016,2,5.42,Abr-Jun 2016,6534241.0,3782085.0,3035272.0,167788.0,85452.0,59482.0,7130079.0,53.34,16.37
2016,1,5.08,Ene-Mar 2016,5936845.0,3792493.0,2806359.0,164371.0,8537.0,58763.0,6907356.0,51.85,15.9
2015,4,4.99,Oct-Dic 2015,5376899.0,3803024.0,2898226.0,139187.0,85726.0,58668.0,6984831.0,52.63,16.12
2015,3,4.79,Jul-Sept 2015,5153739.0,3788696.0,2840203.0,162663.0,8453.0,58976.0,6935068.0,52.46,16.05
2015,2,4.55,Abr-Jun 2015,4701791.0,3767821.0,2756294.0,150839.0,82077.0,59157.0,6816188.0,51.76,15.82
2015,1,4.35,Ene-Mar 2015,4876385.0,3756153.0,2668248.0,168188.0,79098.0,66045.0,6737732.0,51.36,15.68
2014,4,4.16,Oct-Dic 2014,3950441.0,3764038.0,2536219.0,149682.0,76984.0,71573.0,6598496.0,50.5,15.39
2014,3,3.87,Jul-Sept 2014,3478638.0,3714764.0,2569868.0,155494.0,85096.0,70049.0,6595271.0,50.67,15.43
2014,2,3.76,Abr-Jun 2014,3270816.0,3708882.0,2461670.0,149363.0,72405.0,72148.0,6464468.0,49.86,15.16
2014,1,3.62,Ene-Mar 2014,2984054.0,3697066.0,2407330.0,150323.0,70749.0,7293.0,6398398.0,49.55,15.05
